year,trade
1950,41.5
1951,59.5
1952,64.6
1953,80.9
1954,84.7
1955,109.8
1956,108.7
1957,104.5
1958,128.7
1959,149.3
1960,128.4
1961,90.7
1962,80.9
1963,85.7
1964,97.5
1965,118.4
1966,127.1
1967,112.2
1968,108.5
1969,107.7
1970,112.9
1971,120.9
1972,146.9
1973,220.5
1974,292.2
1975,290.4
1976,264.1
1977,272.5
1978,355
1979,454.6
1980,570
1981,735.3
1982,771.3
1983,860.1
1984,1201
1985,2066.7
1986,2580.4
1987,3084.2
1988,3821.8
1989,4155.9
1990,5560.1
1991,7225.8
1992,9119.6
1993,11271
1994,20381.9
1995,23499.9
1996,24133.8
1997,26967.2
1998,26849.7
1999,29896.2
2000,39273.2
2001,42183.6
2002,51378.2
2003,70483.5
2004,95539.1
2005,116921.8
2006,140974
2007,166863.7
2008,179921.47
2009,150648.06
2010,201722.15
2011,236401.99
2012,244157.6
2013,258252.88
2014,264334.58
